datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad
6/1/2023 0:00,0,23.8,88.04,0.2,342,1009.2,0
6/1/2023 1:00,0,23.7,88,0.15,348,1008.7,0
6/1/2023 2:00,0,23.7,86.84,0.09,313,1008.3,0
6/1/2023 3:00,0,24.12,85.4,1.08,346,1007.86,0
6/1/2023 4:00,0,23.5,88.5,0.63,350,1007.8,0
6/1/2023 5:00,0,23.3,86.08,0.27,274,1008.26,0
6/1/2023 6:00,0,23.1,83.76,0.04,345,1008.68,0.57
6/1/2023 7:00,0,24.6,83.5,0.24,343,1009.04,1.46
6/1/2023 8:00,0,27.4,84.48,1.68,8,1009.8,2.15
6/1/2023 9:00,0,29.9,91,3.41,15,1009.98,4.06
6/1/2023 10:00,0,31.9,87.12,3.06,17,1009.7,5.78
6/1/2023 11:00,0,32.4,84.2,2.71,354,1009.2,8.53
6/1/2023 12:00,0,32.4,84.2,2.36,348,1008.4,3.9
6/1/2023 13:00,0,33.86,68.76,2.49,12,1007.48,3.6
6/1/2023 14:00,0,32.7,65.1,4.15,352,1006.5,1.76
6/1/2023 15:00,0,31.2,74.42,3.82,351,1006.12,1.34
6/1/2023 16:00,0,31.94,80.46,3.41,346,1006.4,0.72
6/1/2023 17:00,0,28.7,76.22,2.74,348,1006.8,0
6/1/2023 18:00,0,28.7,76.22,2.06,345,1007.28,0
6/1/2023 19:00,0,28.2,85.1,2.6,353,1007.8,0
6/1/2023 20:00,0,26.9,87,1.74,348,1008.9,0
6/1/2023 21:00,0,25.8,90.5,0.41,336,1010.02,0
6/1/2023 22:00,0,25.9,89.5,0.74,9,1010,0
6/1/2023 23:00,0,25.6,89.1,1.39,8,1010,0
6/2/2023 0:00,0,25.86,87.6,1.24,6,1009.68,0
6/2/2023 1:00,0,25.24,89.9,0.45,26,1009.32,0
6/2/2023 2:00,0,24.8,87.5,0.44,30,1008.7,0
6/2/2023 3:00,0,24.5,85.8,0.2,9,1008.3,0
6/2/2023 4:00,0,24.2,85.1,1.04,7,1008.2,0
6/2/2023 5:00,0,24.1,85.6,0.55,32,1008.5,0
6/2/2023 6:00,0,23.96,85.2,1,31,1008.72,0.37
6/2/2023 7:00,0,25,86.4,0.62,26,1009.26,1.21
6/2/2023 8:00,0,27.4,89,2.04,22,1009.76,2.23
6/2/2023 9:00,0,29.9,90.7,2.58,16,1010,5.62
6/2/2023 10:00,0,31.1,85.3,4.02,11,1009.72,3.57
6/2/2023 11:00,0,33,81.72,4.05,348,1008.94,2.96
6/2/2023 12:00,0,32.6,71.66,3.4,348,1007.92,1.42
6/2/2023 13:00,0,32.7,74.3,3.8,352,1007.12,2.52
6/2/2023 14:00,0,32.4,75.14,3.42,352,1006.4,2.05
6/2/2023 15:00,0,33.9,75.5,3.64,349,1006.08,0.96
6/2/2023 16:00,0,32.3,71.28,3.95,348,1006.22,0.49
6/2/2023 17:00,0,30.9,75.74,3.12,351,1006.6,0
6/2/2023 18:00,0,29.3,80.2,2.22,346,1007.28,0
6/2/2023 19:00,0,28,83.3,1.68,341,1008.1,0
6/2/2023 20:00,0,27.1,88.2,0.97,350,1009,0
6/2/2023 21:00,0,27.1,90.16,0.77,328,1009.56,0
6/2/2023 22:00,0,26.7,90,0.69,330,1009.98,0
6/2/2023 23:00,0,26.04,88.9,0.24,342,1010.28,0
6/3/2023 0:00,0,26,87.14,0.43,45,1009.8,0
6/3/2023 1:00,0,25.8,85.44,1.04,45,1009.2,0
6/3/2023 2:00,0,25.4,85.5,1.17,22,1008.8,0
6/3/2023 3:00,0,24.9,83.5,0.58,157,1008.9,0
6/3/2023 4:00,0,24.6,82.7,0.27,138,1009,0
6/3/2023 5:00,0,24.5,82.74,0.35,94,1009.28,0
6/3/2023 6:00,0,24.6,83.3,0.14,18,1009.76,0.17
6/3/2023 7:00,0,25.6,83.8,0.56,26,1010.02,1.52
6/3/2023 8:00,0,27.9,83.86,1.6,70,1010.68,2.25
6/3/2023 9:00,0,29.7,92.04,2.71,16,1010.5,3.29
6/3/2023 10:00,0,30.8,88.24,2.87,345,1010.48,3.15
6/3/2023 11:00,0,31.94,84.52,3.1,11,1009.9,3.53
6/3/2023 12:00,0,33.2,77.36,2.41,8,1008.9,5.03
6/3/2023 13:00,0,34,68.88,2.59,351,1008.18,2.35
6/3/2023 14:00,0,35.3,68.4,2.21,251,1007.18,1.3
6/3/2023 15:00,0,34.1,62.44,2.22,343,1006.58,0.66
6/3/2023 16:00,0,32.4,67.82,2.94,348,1006.58,0.13
6/3/2023 17:00,0,31.3,73.5,2.74,348,1006.7,0
6/3/2023 18:00,0,29.4,78.22,3.23,347,1007.42,0
6/3/2023 19:00,0,28.4,85.36,2.55,352,1008.26,0
6/3/2023 20:00,0,27,89.1,1.01,341,1009.1,0
6/3/2023 21:00,0,26.36,90.5,0.25,305,1009.58,0
6/3/2023 22:00,0,26.3,87.9,0.49,26,1009.84,0
6/3/2023 23:00,0,26,87.14,0.46,8,1009.72,0
6/4/2023 0:00,0,25.9,87.44,0.27,161,1009.52,0
6/4/2023 1:00,0,25.5,85.1,0.83,2,1008.88,0
6/4/2023 2:00,0,25.1,84.4,0.25,8,1008.82,0
6/4/2023 3:00,0,25,83.46,0.06,195,1008.56,0
6/4/2023 4:00,0,25,83.3,0.34,195,1008.3,0
6/4/2023 5:00,0,24.8,83.34,1.29,4,1008.4,0
6/4/2023 6:00,0,24.7,83.7,0.52,8,1008.96,0.51
6/4/2023 7:00,0,25.6,83.8,0.18,356,1009.44,1.09
6/4/2023 8:00,0,28.2,84.58,1.91,12,1009.9,2.55
6/4/2023 9:00,0,30.3,92.22,3.49,20,1009.8,5.16
6/4/2023 10:00,0,31,82.4,3.78,14,1009.78,3.53
6/4/2023 11:00,0,33,80.32,2.95,10,1009.44,4.23
6/4/2023 12:00,0,33.6,69.46,1.87,38,1008.62,7.05
6/4/2023 13:00,0,34.7,67.72,2.32,29,1007.54,3.96
6/4/2023 14:00,0,35.2,62.5,2.02,93,1006.36,2.53
6/4/2023 15:00,0,34.62,61.8,2.54,40,1005.6,0.73
6/4/2023 16:00,0,33,59.56,2.12,348,1005.48,0.28
6/4/2023 17:00,0,30.4,68.1,1.94,348,1006,0
6/4/2023 18:00,0,28,82.72,2.46,354,1006.5,0
6/4/2023 19:00,0,26.6,86.34,1.83,280,1007.6,0
6/4/2023 20:00,0,26.6,86.34,1.2,346,1008.2,0
6/4/2023 21:00,0,25.86,90.8,0.79,330,1008.58,0
6/4/2023 22:00,0,25.8,91.1,1.64,349,1008.92,0
6/4/2023 23:00,0,25,90.7,0.31,10,1008.82,0
6/5/2023 0:00,0,24.72,87.7,0.07,94,1008.98,0
6/5/2023 1:00,0,24.4,84.8,0.1,262,1008.38,0
6/5/2023 2:00,0,24.3,83.8,0.01,326,1008.22,0
6/5/2023 3:00,0,24.1,83.6,0.05,192,1007.78,0
6/5/2023 4:00,0,24,83.8,0.05,192,1007.88,0
6/5/2023 5:00,0,23.7,84.36,0.04,185,1008.18,0
6/5/2023 6:00,0,23.56,84.86,0.15,185,1008.06,0.49
6/5/2023 7:00,0,24.5,84.96,1.72,15,1007.9,1.49
6/5/2023 8:00,0,27.2,85.3,2.7,19,1008,1.41
6/5/2023 9:00,0,29.9,93.16,4.95,14,1008.2,5.21
6/5/2023 10:00,0,31.1,84.06,5.88,17,1008.42,6.59
6/5/2023 11:00,0,32.74,78.6,4.49,15,1008.2,4.91
6/5/2023 12:00,0,33.74,74.88,4.35,16,1007.48,3.72
6/5/2023 13:00,0,33.7,73.3,4.21,81.6,1006.784,2.37
6/5/2023 14:00,0,33.7,73.3,4.07,18,1005.94,2.49
6/5/2023 15:00,0,34.5,64.18,3.76,9,1005.44,0.16
6/5/2023 16:00,0,32.7,61.6,3.81,10,1005.22,0
6/5/2023 17:00,0,31,68.12,4.2,9,1005.8,0
6/5/2023 18:00,0,29.2,73.4,2.8,350,1006.5,0
6/5/2023 19:00,0,28.1,84.7,2.44,348,1007.66,0
6/5/2023 20:00,0,27.1,89,1.92,350,1008.1,0
6/5/2023 21:00,0,26.2,91.3,1.32,355,1008.9,0
6/5/2023 22:00,0,26.5,91.56,1.77,349,1009.4,0
6/5/2023 23:00,0,25.5,91.5,0.38,356,1009.36,0
6/6/2023 0:00,0,25.1,90.3,0.92,8,1009.1,0
6/6/2023 1:00,0,24.7,88.16,1.29,6,1008.44,0
6/6/2023 2:00,0,24.2,87.2,0.08,3,1007.7,0
6/6/2023 3:00,0,23.8,85.2,0.1,100,1007.54,0
6/6/2023 4:00,0,23.64,84.7,0.09,157,1007.52,0
6/6/2023 5:00,0,23.4,84.4,0.16,9,1007.64,0
6/6/2023 6:00,0,23.4,84.66,0.81,0,1008.04,2.43
6/6/2023 7:00,0,24.1,84.9,1.05,11,1008.4,0.2
6/6/2023 8:00,0,25.2,87.1,1.44,10,1009.28,2.05
6/6/2023 9:00,0,27,89.4,2.27,16,1009.6,1.24
6/6/2023 10:00,0,28.3,91.74,3.58,20,1009.52,2.14
6/6/2023 11:00,0,29.3,88.5,4.55,16,1009.16,2.3
6/6/2023 12:00,0,30.1,86.16,5.09,12,1008.84,1.74
6/6/2023 13:00,0,30.46,81.24,4.4,13,1007.92,1.66
6/6/2023 14:00,0,30.9,79.1,3.81,21,1007.3,2.65
6/6/2023 15:00,0,30.9,78.4,4.05,14,1006.78,0.55
6/6/2023 16:00,0,31.5,76.4,3.84,14,1006.6,0
6/6/2023 17:00,0,30.1,73.9,3.78,353,1007,0
6/6/2023 18:00,0,28.5,79.7,3.34,7,1007.44,0
6/6/2023 19:00,0,27.1,86.84,2.29,7,1008.1,0
6/6/2023 20:00,0,26.44,90.5,1.38,353,1008.8,0
6/6/2023 21:00,0,25.7,91.1,0.78,353,1009.32,0
6/6/2023 22:00,0,25.1,90,0.74,31,1009.9,0
6/6/2023 23:00,0,25.1,90,0.69,0,1009.9,0
6/7/2023 0:00,0,25.06,87.2,1.22,270,1009.78,0
6/7/2023 1:00,0,24.7,87.3,1.04,10,1009.56,0
6/7/2023 2:00,0,24.26,85.5,0.2,3,1008.9,0
6/7/2023 3:00,0,24.22,84.4,0.54,18,1008.68,0
6/7/2023 4:00,0,23.9,84.3,0.27,4,1008.48,0
6/7/2023 5:00,0,23.74,84.4,0.03,135,1008.56,0
6/7/2023 6:00,0,23.6,82.2,0.13,0,1008.62,2.43
6/7/2023 7:00,0,23.64,82.4,0.36,10,1009.46,0.38
6/7/2023 8:00,0,24.9,82.6,0.88,10,1010.4,1.71
6/7/2023 9:00,0,26.52,85.62,0.98,90,1010.4,1.67
6/7/2023 10:00,0,30.6,92.6,1.64,5,1010.2,1.8
6/7/2023 11:00,0,30.6,92.6,2.29,20,1009.72,2.32
6/7/2023 12:00,0,29.6,81.62,3.23,352,1009.3,1.15
6/7/2023 13:00,0,30.1,85.34,3.46,353,1008.6,2.78
6/7/2023 14:00,0,27.8,83.4,2.97,353,1008.3,2.89
6/7/2023 15:00,0,27.84,90.84,4.05,349,1007.82,0.1
6/7/2023 16:00,0,27.1,89.34,2.49,352,1007.6,0
6/7/2023 17:00,0,26.8,90.7,1.21,352,1007.76,0
6/7/2023 18:00,0,26.3,91.3,0.73,273,1008.4,0
6/7/2023 19:00,0,25.8,90.8,1.66,274,1009.1,0
6/7/2023 20:00,0.2,25.2,88.36,1.57,264,1009.2,0
6/7/2023 21:00,0,25,84.5,0.86,217,1010.1,0
6/7/2023 22:00,0,24.8,82.9,0.14,184,1010.64,0
6/7/2023 23:00,0,25.06,87.2,0.68,241.8,1009.848,0
6/8/2023 0:00,3.8,24.4,82.2,1.4,217,1010.58,0
6/8/2023 1:00,0.2,24.4,82.4,1.73,270,1010.2,0
6/8/2023 2:00,0,24.3,82.7,2.02,245,1009.9,0
6/8/2023 3:00,0.4,24.3,82.94,1.74,234,1009.72,0
6/8/2023 4:00,0.2,24.42,83,1.21,244,1009.6,0
6/8/2023 5:00,0.2,24.4,83.1,0.45,157,1009.66,0
6/8/2023 6:00,0,24.3,83.2,0.9,168,1010.38,0.06
6/8/2023 7:00,0,24.5,83.4,1.24,180,1010.9,1.19
6/8/2023 8:00,0,25,83.9,0.96,184,1011.64,2.75
6/8/2023 9:00,0,27,84.56,0.98,45,1011.8,0.97
6/8/2023 10:00,0,27.9,93.2,1.63,350,1011.8,2.87
6/8/2023 11:00,0,29,91,1.8,352,1011.06,0.29
6/8/2023 12:00,1,26.44,87.28,2.11,353,1010.3,0.55
6/8/2023 13:00,1.8,26,92.4,2.83,214,1009.66,0.58
6/8/2023 14:00,0,27.2,90.48,1.14,204,1008.98,0.6
6/8/2023 15:00,0,28.2,92.5,0.77,225,1008.3,0.08
6/8/2023 16:00,0,28.6,90.5,0.67,328,1008.1,0
6/8/2023 17:00,0,28.3,90,0.28,12,1008.16,0
6/8/2023 18:00,0,27,90.9,0.4,12,1008.4,0
6/8/2023 19:00,0,26,90.6,1.4,152,1008.7,0
6/8/2023 20:00,0,25.5,86.48,0.64,145,1009.3,0
6/8/2023 21:00,0,25.7,85,0.74,331,1010.12,0
6/8/2023 22:00,0,25.6,84.3,0.15,332,1010.12,0
6/8/2023 23:00,0,25.5,83.5,0.25,348,1010,0
6/9/2023 0:00,0,25.2,83.6,0.08,17,1010.04,0
6/9/2023 1:00,0,24.8,83.7,0.73,266,1009.5,0
6/9/2023 2:00,0,24.8,83.7,0.05,45,1008.88,0
6/9/2023 3:00,0,24.46,82.6,0.03,0,1008.48,0
6/9/2023 4:00,0,24.1,83.1,0,10,1008.3,0
6/9/2023 5:00,0,23.68,83.6,0.04,10,1008.5,0
6/9/2023 6:00,0,23.5,83.8,0.15,185,1008.8,2.47
6/9/2023 7:00,0,24.4,84.4,0.38,104,1009.12,0.72
6/9/2023 8:00,0,26.96,85.7,0.66,61,1009.92,2.09
6/9/2023 9:00,0,29.6,91.04,1.99,350,1009.8,5.66
6/9/2023 10:00,0,30.8,88.88,3.02,354,1009.5,7.36
6/9/2023 11:00,0,32.7,82.7,3.16,353,1009.06,10.52
6/9/2023 12:00,0,33.04,73.28,3.6,256,1008.06,5.47
6/9/2023 13:00,0,33.4,70.76,4.31,249,1007.6,4.33
6/9/2023 14:00,0,33.72,64.22,3.45,275,1006.72,0.96
6/9/2023 15:00,0,34.1,61.04,3.08,263,1006.06,0.17
6/9/2023 16:00,0,33.4,60.78,3.22,346,1005.94,0.55
6/9/2023 17:00,0,31.54,63.78,2.83,342,1006.5,0
6/9/2023 18:00,0,28.3,70.74,1.58,347,1007.16,0
6/9/2023 19:00,0,26.02,81.9,0.39,346,1007.88,0
6/9/2023 20:00,0,25.1,91.9,0.23,332,1008.68,0
6/9/2023 21:00,0,25,92.1,0.61,330,1009.3,0
6/9/2023 22:00,0,24.26,91.4,0.13,2,1009.42,0
6/9/2023 23:00,0,24.14,86.8,0.15,0,1009.1,0
6/10/2023 0:00,0,23.9,85,0,0,1008.7,0
6/10/2023 1:00,0,23.5,84.1,0.08,15.4,1008.124,0
6/10/2023 2:00,0,23.5,84.1,0.07,30,1007.8,0
6/10/2023 3:00,0,23.3,83,0.23,23,1007.44,0
6/10/2023 4:00,0,23.2,82.6,0.23,24,1007.58,0
6/10/2023 5:00,0,22.9,82.7,0.11,3,1007.9,0
6/10/2023 6:00,0,23,82.7,0.01,15,1008.36,2.43
6/10/2023 7:00,0,23.5,83,0.27,188,1009.1,0.08
6/10/2023 8:00,0,25,83.2,0.48,182,1009.7,2.37
6/10/2023 9:00,0,28.9,88.3,0.92,22,1009.58,3.08
6/10/2023 10:00,0,31.8,87.82,1.31,288,1009.22,3.5
6/10/2023 11:00,0,31.8,76.88,1.94,347,1008.6,5.46
6/10/2023 12:00,0,33.6,75.76,1.93,348,1007.62,8.46
6/10/2023 13:00,0,33.6,75.76,1.92,351,1006.68,2.17
6/10/2023 14:00,0,31.4,65.44,3.57,354,1006.1,2.29
6/10/2023 15:00,0,33.8,77.3,3.47,352,1005.4,0.12
6/10/2023 16:00,0,31.1,69.86,4.56,346,1005.6,0
6/10/2023 17:00,0,30.34,78.8,4.16,350,1005.68,0
6/10/2023 18:00,0,28.94,82.3,3.9,350,1006.32,0
6/10/2023 19:00,0,27.6,85.76,1.25,341,1007.24,0
6/10/2023 20:00,0,26.7,90.1,1.07,0,1007.98,0
6/10/2023 21:00,0,25.4,91.3,0.33,353,1008.38,0
6/10/2023 22:00,0,25,90.5,0.11,7,1008.42,0
