Tanggal,Hujan,Temperatur,Kecepatan Angin,Kelembaban,Arah Angin,Tekanan Udara,UV,DoY,Bulan,Jam
9/5/2022 12:00,0,34.3,7.93,61.8,1.989675347,1007.38,0,244.6027397,9,12
9/5/2022 13:00,0,34.3,7.6,64.8,2.862339973,1006.6,0,244.6027397,9,13
9/5/2022 14:00,0,33.9,4.35,62.36,1.500983157,1005.3,0,244.6027397,9,14
9/5/2022 15:00,1.2,33.6,4.53,65.7,2.35619449,1004.74,0,244.6027397,9,15
9/5/2022 16:00,0,31.85,6.04,68.63,4.08407045,1005.02,0,244.6027397,9,16
9/5/2022 17:00,0,30.1,7.55,71.56,5.811946409,1005.3,0,244.6027397,9,17
9/5/2022 18:00,0,28.08,1.59,83.38,3.141592654,1007.02,0,244.6027397,9,18
9/5/2022 19:00,0,27,0.8,88.32,1.396263402,1007.9,0,244.6027397,9,19
9/5/2022 20:00,0,26.7,0.96,91.7,1.396263402,1008.86,0,244.6027397,9,20
9/5/2022 21:00,0,25.6,1.46,94.92,2.530727415,1009.44,0,244.6027397,9,21
9/5/2022 22:00,0,24.7,0.43,94.92,3.717551307,1009.3,0,244.6027397,9,22
9/5/2022 23:00,0,24.8,0.93,94.92,2.478367538,1009.36,0,244.6027397,9,23
9/6/2022 0:00,0,24.7,0.32,94.92,2.635447171,1008.9,0,245.5890411,9,0
9/6/2022 1:00,0,24.18,0,94.92,2.635447171,1008.2,0,245.5890411,9,1
9/6/2022 2:00,0,24.2,0.43,94.92,4.50294947,1007.7,0,245.5890411,9,2
9/6/2022 3:00,0,24.12,0.6,94.92,5.969026042,1007.38,0,245.5890411,9,3
9/6/2022 4:00,0,24,0.58,94.92,2.35619449,1007.1,0,245.5890411,9,4
9/6/2022 5:00,0,24,0.1,94.92,2.094395102,1007.2,0,245.5890411,9,5
9/6/2022 6:00,0,24.1,0.19,94.92,2.094395102,1008.2,0,245.5890411,9,6
9/6/2022 7:00,0,24.5,0.31,94.92,2.49582083,1008.9,0,245.5890411,9,7
9/6/2022 8:00,0,25,0.52,94.92,4.450589593,1009.6,0,245.5890411,9,8
9/6/2022 9:00,0,26.2,2.05,94.92,2.565634,1009.8,0,245.5890411,9,9
9/6/2022 10:00,0,27.38,0.93,91.1,4.468042885,1009.72,0,245.5890411,9,10
9/6/2022 11:00,0,27.5,2.23,89.7,2.234021443,1008.88,0,245.5890411,9,11
9/6/2022 12:00,0,28.7,1.59,83.26,1.570796327,1008,0,245.5890411,9,12
9/6/2022 13:00,0,30.8,2.39,74.52,5.288347634,1006.64,0,245.5890411,9,13
9/6/2022 14:00,0,27.3,4.37,87.4,3.054326191,1006.34,0,245.5890411,9,14
9/6/2022 15:00,0,26.4,2.76,92.6,4.834562028,1005.98,0,245.5890411,9,15
9/6/2022 16:00,0,26.86,3.22,90.34,4.188790205,1006.06,0,245.5890411,9,16
9/6/2022 17:00,0,26.6,1.03,92.7,4.066617157,1006.36,0,245.5890411,9,17
9/6/2022 18:00,0,25.7,2.87,94.92,2.408554368,1007.14,0,245.5890411,9,18
9/6/2022 19:00,0,25.4,0.33,94.92,2.129301687,1008.24,0,245.5890411,9,19
9/6/2022 20:00,0,25.1,0,94.92,2.635447171,1008.6,0,245.5890411,9,20
9/6/2022 21:00,0,24.6,0.1,94.92,2.635447171,1008.8,0,245.5890411,9,21
9/6/2022 22:00,0,24.5,0,94.92,2.740166926,1009.78,0,245.5890411,9,22
9/6/2022 23:00,0,24.4,0.09,94.92,2.740166926,1009.8,0,245.5890411,9,23
9/7/2022 0:00,0,24,0,94.92,2.705260341,1009.34,0,246.5753425,9,0
9/7/2022 1:00,0,23.8,0,94.92,2.705260341,1008.9,0,246.5753425,9,1
9/7/2022 2:00,0,23.68,0,94.92,2.705260341,1007.98,0,246.5753425,9,2
9/7/2022 3:00,0,23.36,0,94.92,2.705260341,1007.74,0,246.5753425,9,3
9/7/2022 4:00,0,23.3,0.09,94.92,2.705260341,1007.9,0,246.5753425,9,4
9/7/2022 5:00,0,22.96,0.32,94.92,2.49582083,1007.82,0,246.5753425,9,5
9/7/2022 6:00,0,22.8,0.08,94.92,2.49582083,1008.52,0,246.5753425,9,6
9/7/2022 7:00,0,24,0.59,94.92,2.024581932,1009.24,0,246.5753425,9,7
9/7/2022 8:00,0,28.1,4.72,89.32,2.460914245,1009.8,0,246.5753425,9,8
9/7/2022 9:00,0,29.8,5.86,83.38,2.199114858,1010.3,0,246.5753425,9,9
9/7/2022 10:00,0,32.18,4.77,73.82,2.478367538,1010,0,246.5753425,9,10
9/7/2022 11:00,0,32.2,6.98,72.04,1.570796327,1009.5,0,246.5753425,9,11
9/7/2022 12:00,0,33.36,3.82,66.12,3.298672286,1008.1,0,246.5753425,9,12
