,datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad
0,6/1/2023 0:00,0.00,23.80,88.04,0.20,342,1009.2,0
1,6/1/2023 1:00,0.00,23.70,88.00,0.15,348,1008.7,0
2,6/1/2023 2:00,0.00,23.70,86.84,0.09,313,1008.3,0
3,6/1/2023 3:00,0.00,24.12,85.40,1.08,346,1007.86,0
4,6/1/2023 4:00,0.00,23.50,88.50,0.63,350,1007.8,0
5,6/1/2023 5:00,0.00,23.30,86.08,0.27,274,1008.26,0
6,6/1/2023 6:00,0.00,23.10,83.76,0.04,345,1008.68,0.57
7,6/1/2023 7:00,0.00,24.60,83.50,0.24,343,1009.04,1.46
8,6/1/2023 8:00,0.00,27.40,84.48,1.68,8,1009.8,2.15
9,6/1/2023 9:00,0.00,29.90,91.00,3.41,15,1009.98,4.06
10,6/1/2023 10:00,0.00,31.90,87.12,3.06,17,1009.7,5.78
11,6/1/2023 11:00,0.00,32.40,84.20,2.71,354,1009.2,8.53
12,6/1/2023 12:00,0.00,32.40,84.20,2.36,348,1008.4,3.9
13,6/1/2023 13:00,0.00,33.86,68.76,2.49,12,1007.48,3.6
14,6/1/2023 14:00,0.00,32.70,65.10,4.15,352,1006.5,1.76
15,6/1/2023 15:00,0.00,31.20,74.42,3.82,351,1006.12,1.34
16,6/1/2023 16:00,0.00,31.94,80.46,3.41,346,1006.4,0.72
17,6/1/2023 17:00,0.00,28.70,76.22,2.74,348,1006.8,0
18,6/1/2023 18:00,0.00,28.70,76.22,2.06,345,1007.28,0
19,6/1/2023 19:00,0.00,28.20,85.10,2.60,353,1007.8,0
20,6/1/2023 20:00,0.00,26.90,87.00,1.74,348,1008.9,0
21,6/1/2023 21:00,0.00,25.80,90.50,0.41,336,1010.02,0
22,6/1/2023 22:00,0.00,25.90,89.50,0.74,9,1010,0
23,6/1/2023 23:00,0.00,25.60,89.10,1.39,8,1010,0
24,6/2/2023 0:00,0.00,25.86,87.60,1.24,6,1009.68,0
25,6/2/2023 1:00,0.00,25.24,89.90,0.45,26,1009.32,0
26,6/2/2023 2:00,0.00,24.80,87.50,0.44,30,1008.7,0
27,6/2/2023 3:00,0.00,24.50,85.80,0.20,9,1008.3,0
28,6/2/2023 4:00,0.00,24.20,85.10,1.04,7,1008.2,0
29,6/2/2023 5:00,0.00,24.10,85.60,0.55,32,1008.5,0
30,6/2/2023 6:00,0.00,23.96,85.20,1.00,31,1008.72,0.37
31,6/2/2023 7:00,0.00,25.00,86.40,0.62,26,1009.26,1.21
32,6/2/2023 8:00,0.00,27.40,89.00,2.04,22,1009.76,2.23
33,6/2/2023 9:00,0.00,29.90,90.70,2.58,16,1010,5.62
34,6/2/2023 10:00,0.00,31.10,85.30,4.02,11,1009.72,3.57
35,6/2/2023 11:00,0.00,33.00,81.72,4.05,348,1008.94,2.96
36,6/2/2023 12:00,0.00,32.60,71.66,3.40,348,1007.92,1.42
37,6/2/2023 13:00,0.00,32.70,74.30,3.80,352,1007.12,2.52
38,6/2/2023 14:00,0.00,32.40,75.14,3.42,352,1006.4,2.05
39,6/2/2023 15:00,0.00,33.90,75.50,3.64,349,1006.08,0.96
40,6/2/2023 16:00,0.00,32.30,71.28,3.95,348,1006.22,0.49
41,6/2/2023 17:00,0.00,30.90,75.74,3.12,351,1006.6,0
42,6/2/2023 18:00,0.00,29.30,80.20,2.22,346,1007.28,0
43,6/2/2023 19:00,0.00,28.00,83.30,1.68,341,1008.1,0
44,6/2/2023 20:00,0.00,27.10,88.20,0.97,350,1009,0
45,6/2/2023 21:00,0.00,27.10,90.16,0.77,328,1009.56,0
46,6/2/2023 22:00,0.00,26.70,90.00,0.69,330,1009.98,0
47,6/2/2023 23:00,0.00,26.04,88.90,0.24,342,1010.28,0
48,6/3/2023 0:00,0.00,26.00,87.14,0.43,45,1009.8,0
49,6/3/2023 1:00,0.00,25.80,85.44,1.04,45,1009.2,0
50,6/3/2023 2:00,0.00,25.40,85.50,1.17,22,1008.8,0
51,6/3/2023 3:00,0.00,24.90,83.50,0.58,157,1008.9,0
52,6/3/2023 4:00,0.00,24.60,82.70,0.27,138,1009,0
53,6/3/2023 5:00,0.00,24.50,82.74,0.35,94,1009.28,0
54,6/3/2023 6:00,0.00,24.60,83.30,0.14,18,1009.76,0.17
55,6/3/2023 7:00,0.00,25.60,83.80,0.56,26,1010.02,1.52
56,6/3/2023 8:00,0.00,27.90,83.86,1.60,70,1010.68,2.25
57,6/3/2023 9:00,0.00,29.70,92.04,2.71,16,1010.5,3.29
58,6/3/2023 10:00,0.00,30.80,88.24,2.87,345,1010.48,3.15
59,6/3/2023 11:00,0.00,31.94,84.52,3.10,11,1009.9,3.53
60,6/3/2023 12:00,0.00,33.20,77.36,2.41,8,1008.9,5.03
61,6/3/2023 13:00,0.00,34.00,68.88,2.59,351,1008.18,2.35
62,6/3/2023 14:00,0.00,35.30,68.40,2.21,251,1007.18,1.3
63,6/3/2023 15:00,0.00,34.10,62.44,2.22,343,1006.58,0.66
64,6/3/2023 16:00,0.00,32.40,67.82,2.94,348,1006.58,0.13
65,6/3/2023 17:00,0.00,31.30,73.50,2.74,348,1006.7,0
66,6/3/2023 18:00,0.00,29.40,78.22,3.23,347,1007.42,0
67,6/3/2023 19:00,0.00,28.40,85.36,2.55,352,1008.26,0
68,6/3/2023 20:00,0.00,27.00,89.10,1.01,341,1009.1,0
69,6/3/2023 21:00,0.00,26.36,90.50,0.25,305,1009.58,0
70,6/3/2023 22:00,0.00,26.30,87.90,0.49,26,1009.84,0
71,6/3/2023 23:00,0.00,26.00,87.14,0.46,8,1009.72,0
72,6/4/2023 0:00,0.00,25.90,87.44,0.27,161,1009.52,0
73,6/4/2023 1:00,0.00,25.50,85.10,0.83,2,1008.88,0
74,6/4/2023 2:00,0.00,25.10,84.40,0.25,8,1008.82,0
75,6/4/2023 3:00,0.00,25.00,83.46,0.06,195,1008.56,0
76,6/4/2023 4:00,0.00,25.00,83.30,0.34,195,1008.3,0
77,6/4/2023 5:00,0.00,24.80,83.34,1.29,4,1008.4,0
78,6/4/2023 6:00,0.00,24.70,83.70,0.52,8,1008.96,0.51
79,6/4/2023 7:00,0.00,25.60,83.80,0.18,356,1009.44,1.09
80,6/4/2023 8:00,0.00,28.20,84.58,1.91,12,1009.9,2.55
81,6/4/2023 9:00,0.00,30.30,92.22,3.49,20,1009.8,5.16
